DateTime,high,low,open,close,volumeto,ETH,SP500,Russell_2000,Crude_oil,Gold,Silver,EUR/USD,Treasury Yield 10 Years,USD/JPY,wiki_Bitcoin,wiki_Cryptocurrency,wiki_Coinbase
2021-07-09,34076.49,32274.31,32874.01,33804.2,853165387.13,2145.67,4369.5498046875,2280.0,74.55999755859375,1810.0,26.211000442504883,1.184800386428833,1.3559999465942383,109.8010025024414,6667,3780,1370
2021-07-12,34658.46,32660.38,34249.3,33088.51,1039311244.06,2032.88,4384.6298828125,2281.820068359375,74.0999984741211,1805.5,26.216999053955078,1.187295913696289,1.3630000352859497,110.21499633789062,9185,4822,1592
2021-07-13,33335.54,32206.14,33088.51,32737.47,837278173.94,1940.61,4369.2099609375,2238.860107421875,75.25,1809.4000244140625,26.114999771118164,1.186521053314209,1.4149999618530273,110.32499694824219,9710,5155,1598
2021-07-14,33099.2,31601.99,32737.47,32820.5,883070516.73,1994.22,4374.2998046875,2202.360107421875,73.12999725341797,1824.300048828125,26.246000289916992,1.1775373220443726,1.3559999465942383,110.59500122070312,8554,4551,1713
2021-07-15,33188.54,31133.75,32820.5,31867.46,1073939852.55,1918.17,4360.02978515625,2190.2900390625,71.6500015258789,1828.4000244140625,26.375,1.1833338737487793,1.2970000505447388,109.98400115966797,6258,3741,1713
2021-07-16,32256.94,31046.14,31867.46,31401.76,812765644.4,1877.05,4327.16015625,2163.239990234375,71.80999755859375,1814.5,25.777000427246094,1.1811814308166504,1.2999999523162842,109.77799987792969,5696,3508,1526
2021-07-19,31907.17,30487.11,31806.3,30847.55,1179342118.61,1818.6,4258.490234375,2130.679931640625,66.41999816894531,1808.699951171875,25.125999450683594,1.1814005374908447,1.180999994277954,109.8740005493164,5924,3425,1895
2021-07-20,31063.88,29320.09,30847.55,29795.55,1291958152.32,1786.52,4323.06005859375,2194.300048828125,67.41999816894531,1810.9000244140625,24.976999282836914,1.1793843507766724,1.2089999914169312,109.53399658203125,7079,3508,1666
2021-07-21,32814.13,29513.88,29795.55,32139.48,1538668590.41,1994.98,4358.68994140625,2234.0400390625,70.30000305175781,1802.9000244140625,25.238000869750977,1.1784114837646484,1.2799999713897705,109.91999816894531,6433,3483,1559
2021-07-22,32604.4,31738.48,32139.48,32299.47,785311959.3,2024.74,4367.47998046875,2199.47998046875,71.91000366210938,1805.0,25.364999771118164,1.179273009300232,1.2649999856948853,110.25499725341797,5976,3428,1402
2021-07-23,33637.93,32012.62,32299.47,33637.92,765209760.41,2125.57,4411.7900390625,2209.64990234375,72.06999969482422,1801.4000244140625,25.218000411987305,1.1772738695144653,1.2860000133514404,110.13999938964844,6129,3645,1428
2021-07-26,40553.85,35270.24,35369.93,37269.52,3840983132.28,2228.67,4422.2998046875,2216.919921875,71.91000366210938,1798.699951171875,25.295000076293945,1.1773432493209839,1.2760000228881836,110.54399871826172,7793,4039,2015
2021-07-27,39535.5,36422.45,37269.52,39496.69,2197490232.78,2301.98,4401.4599609375,2191.830078125,71.6500015258789,1799.5,24.631999969482422,1.1807769536972046,1.2339999675750732,110.302001953125,6311,3886,1652
2021-07-28,40906.09,38809.89,39496.69,40030.01,2662886395.8,2301.12,4400.64013671875,2224.9599609375,72.38999938964844,1799.5,24.856000900268555,1.1823126077651978,1.2610000371932983,109.80599975585938,5941,3648,1604
2021-07-29,40633.62,39281.83,40030.01,40030.52,1257968294.92,2383.24,4419.14990234375,2240.030029296875,73.62000274658203,1831.199951171875,25.763999938964844,1.1845955848693848,1.2690000534057617,109.89099884033203,7839,4167,1508
2021-07-30,42301.76,38346.18,40030.52,42231.83,1698014609.78,2463.61,4395.259765625,2226.25,73.94999694824219,1812.5999755859375,25.527999877929688,1.1892997026443481,1.2389999628067017,109.40899658203125,7731,4356,1601
2021-08-02,40446.6,38698.01,39870.76,39158.53,1308894644.03,2608.44,4387.16015625,2215.5,71.26000213623047,1818.0999755859375,25.55699920654297,1.186704158782959,1.1740000247955322,109.70600128173828,10139,5411,1588
2021-08-03,39779.45,37679.22,39158.53,38189.3,1466921591.54,2508.21,4423.14990234375,2223.580078125,70.55999755859375,1810.0999755859375,25.56599998474121,1.1874650716781616,1.1759999990463257,109.26899719238281,13021,6419,1629
2021-08-04,39961.11,37526.24,38189.3,39738.56,1318983897.48,2725.72,4402.66015625,2196.320068359375,68.1500015258789,1810.5,25.445999145507812,1.1869436502456665,1.184000015258789,108.99099731445312,9353,5268,1734
2021-08-05,41409.14,37330.04,39738.56,40888.18,2357831521.97,2829.23,4429.10009765625,2236.010009765625,69.08999633789062,1805.0999755859375,25.277000427246094,1.1837401390075684,1.2170000076293945,109.52899932861328,7474,4452,1647
2021-08-06,43363.62,39895.05,40888.18,42852.18,2009167763.65,2892.36,4436.52001953125,2247.760009765625,68.27999877929688,1760.0,24.312000274658203,1.1835720539093018,1.2899999618530273,109.75199890136719,5046,3198,1490
2021-08-09,46476.01,42818.07,43827.75,46292.61,2219734084.88,3164.94,4432.35009765625,2234.81005859375,66.4800033569336,1723.4000244140625,23.2549991607666,1.1749500036239624,1.3170000314712524,110.25900268554688,6363,4288,1850
2021-08-10,46707.56,44663.2,46292.61,45601.03,1609844198.85,3141.67,4436.75,2239.360107421875,68.29000091552734,1728.800048828125,23.37700080871582,1.17384672164917,1.3420000076293945,110.30599975585938,6553,4343,2109
2021-08-11,46763.89,45360.51,45601.03,45556.69,1421598811.69,3163.42,4442.41015625,2238.72998046875,69.25,1750.4000244140625,23.474000930786133,1.172333002090454,1.3289999961853027,110.5979995727539,7018,4926,2307
2021-08-12,46214.21,43786.4,45556.69,44425.52,1588850342.27,3047.29,4460.830078125,2244.070068359375,69.08999633789062,1749.0,23.104999542236328,1.1741899251937866,1.3669999837875366,110.3740005493164,7562,4948,1847
